.*,Fibre Channel,15000,1.158
.*,Fibre Channel,10000,1.101
.*,SAS,15000,4.109
.*,SAS,10000,2.191
.*,SAS,7200,0.778
.*,SATA.*,15000,
.*,SATA.*,10000,1.016
.*,SATA.*,7200,0.280
.*,SATA.*,5400,0.073
