"VNXBlock-Collector","Flash drives","Extreme Performance"
"VNXBlock-Collector","SATA Flash","Extreme Performance"
"VNXBlock-Collector","Flash","Extreme Performance"
"VNXBlock-Collector","Fibre Channel","Performance"
"VNXBlock-Collector","SAS","Performance"
"VNXBlock-Collector","SATA","Capacity"
"VNXBlock-Collector","NL-SAS","Capacity"
