CX300.*,64,60
CX500.*,128,120
CX700.*,256,240
CX3-10.*,64,60
CX3-20.*,128,120
CX3-40.*,128,240
CX3-80.*,256,480
CX4-120.*,128,120
CX4-240.*,256,240
CX4-480.*,256,480
CX4-960.*,512,960
VNX5100.*,75,512
VNX5300.*,125,2048
VNX5500.*,250,4096
VNX5700.*,500,4096
VNX7500.*,1000,8192
VNX5200.*,125,1024
VNX5400.*,250,1024
VNX5600.*,500,2048
VNX5800.*,750,4096
VNX7600.*,1000,4096
VNX8000.*,1500,8192
